college_code,college_name,city,status,branch_code,branch_name,year,round,category,cutoff_percentile
3012,Veermata Jijabai Technological Institute (VJTI),Mumbai,Government Aided,301224210,Computer Engineering,2022,1,OPEN,99.6255
3012,Veermata Jijabai Technological Institute (VJTI),Mumbai,Government Aided,301224210,Computer Engineering,2022,1,EWS,99.3904
3012,Veermata Jijabai Technological Institute (VJTI),Mumbai,Government Aided,301224210,Computer Engineering,2022,1,TFWS,99.5831
3012,Veermata Jijabai Technological Institute (VJTI),Mumbai,Government Aided,301224210,Computer Engineering,2022,1,OBC,99.0556
3012,Veermata Jijabai Technological Institute (VJTI),Mumbai,Government Aided,301224210,Computer Engineering,2022,1,SC,97.4414
3012,Veermata Jijabai Technological Institute (VJTI),Mumbai,Government Aided,301224210,Computer Engineering,2022,1,ST,94.117
3012,Veermata Jijabai Technological Institute (VJTI),Mumbai,Government Aided,301224210,Computer Engineering,2022,2,OPEN,99.4225
3012,Veermata Jijabai Technological Institute (VJTI),Mumbai,Government Aided,301224210,Computer Engineering,2022,2,EWS,99.2758
3012,Veermata Jijabai Technological Institute (VJTI),Mumbai,Government Aided,301224210,Computer Engineering,2022,2,TFWS,99.4702
3012,Veermata Jijabai Technological Institute (VJTI),Mumbai,Government Aided,301224210,Computer Engineering,2022,2,OBC,98.9467
3012,Veermata Jijabai Technological Institute (VJTI),Mumbai,Government Aided,301224210,Computer Engineering,2022,2,SC,97.1941
3012,Veermata Jijabai Technological Institute (VJTI),Mumbai,Government Aided,301224210,Computer Engineering,2022,2,ST,93.8902
3012,Veermata Jijabai Technological Institute (VJTI),Mumbai,Government Aided,301224210,Computer Engineering,2022,3,OPEN,99.1675
3012,Veermata Jijabai Technological Institute (VJTI),Mumbai,Government Aided,301224210,Computer Engineering,2022,3,EWS,99.0717
3012,Veermata Jijabai Technological Institute (VJTI),Mumbai,Government Aided,301224210,Computer Engineering,2022,3,TFWS,99.3084
3012,Veermata Jijabai Technological Institute (VJTI),Mumbai,Government Aided,301224210,Computer Engineering,2022,3,OBC,98.8036
3012,Veermata Jijabai Technological Institute (VJTI),Mumbai,Government Aided,301224210,Computer Engineering,2022,3,SC,97.0662
3012,Veermata Jijabai Technological Institute (VJTI),Mumbai,Government Aided,301224210,Computer Engineering,2022,3,ST,93.7108
3012,Veermata Jijabai Technological Institute (VJTI),Mumbai,Government Aided,301224210,Computer Engineering,2023,1,OPEN,99.783
3012,Veermata Jijabai Technological Institute (VJTI),Mumbai,Government Aided,301224210,Computer Engineering,2023,1,EWS,99.6216
3012,Veermata Jijabai Technological Institute (VJTI),Mumbai,Government Aided,301224210,Computer Engineering,2023,1,TFWS,99.7509
3012,Veermata Jijabai Technological Institute (VJTI),Mumbai,Government Aided,301224210,Computer Engineering,2023,1,OBC,99.2791
3012,Veermata Jijabai Technological Institute (VJTI),Mumbai,Government Aided,301224210,Computer Engineering,2023,1,SC,97.4817
3012,Veermata Jijabai Technological Institute (VJTI),Mumbai,Government Aided,301224210,Computer Engineering,2023,1,ST,94.1859
3012,Veermata Jijabai Technological Institute (VJTI),Mumbai,Government Aided,301224210,Computer Engineering,2023,2,OPEN,99.5682
3012,Veermata Jijabai Technological Institute (VJTI),Mumbai,Government Aided,301224210,Computer Engineering,2023,2,EWS,99.468
3012,Veermata Jijabai Technological Institute (VJTI),Mumbai,Government Aided,301224210,Computer Engineering,2023,2,TFWS,99.6857
